#Contig name	K-mer length	Contig length in k-mers	Colored k-mers	Proportion of colored k-mers in contig	Mode k-mer coverage depth	K-mer observations	Total	Proportion of k-mer observations in sample
contig-5000003	31	6205	0	0	12	74460	21898680	0.0034002
contig-15000002	31	2186	0	0	12	26232	21898680	0.00119788
contig-13000000	31	2232	0	0	6	13392	21898680	0.000611544
contig-14000000	31	1888	0	0	7	13216	21898680	0.000603507
contig-16000002	31	1940	0	0	6	11640	21898680	0.000531539
contig-15000000	31	1893	0	0	12	22716	21898680	0.00103732
contig-6000003	31	4519	0	0	26	117494	21898680	0.00536535
contig-17000002	31	1915	0	0	3	5745	21898680	0.000262345
contig-12000001	31	5367	0	0	10	53670	21898680	0.00245083
contig-16000000	31	1896	0	0	6	11376	21898680	0.000519483
contig-18000002	31	1841	0	0	8	14728	21898680	0.000672552
contig-13000001	31	2212	0	0	4	8848	21898680	0.000404043
contig-17000000	31	1829	0	0	4	7316	21898680	0.000334084
contig-7000003	31	3506	0	0	13	45578	21898680	0.00208131
contig-18000000	31	1827	0	0	5	9135	21898680	0.000417148
contig-19000002	31	2131	0	0	6	12786	21898680	0.000583871
contig-14000001	31	2798	0	0	9	25182	21898680	0.00114993
contig-19000000	31	1764	0	0	4	7056	21898680	0.000322211
contig-20000002	31	1880	0	0	8	15040	21898680	0.000686799
contig-8000003	31	3314	0	0	7	23198	21898680	0.00105933
contig-20000000	31	1753	0	0	5	8765	21898680	0.000400252
contig-15000001	31	2147	0	0	6	12882	21898680	0.000588255
contig-21000002	31	1797	0	0	6	10782	21898680	0.000492358
contig-21000000	31	1732	0	0	6	10392	21898680	0.000474549
contig-16000001	31	2469	0	0	8	19752	21898680	0.000901972
contig-22000002	31	1730	0	0	6	10380	21898680	0.000474001
contig-9000003	31	3275	0	0	8	26200	21898680	0.00119642
contig-22000000	31	1682	0	0	12	20184	21898680	0.000921699
contig-23000002	31	1725	0	0	9	15525	21898680	0.000708947
contig-17000001	31	2099	0	0	9	18891	21898680	0.000862655
contig-10000003	31	3001	0	0	10	30010	21898680	0.0013704
contig-23000000	31	3023	0	0	9	27207	21898680	0.0012424
contig-18000001	31	1823	0	0	10	18230	21898680	0.00083247
contig-24000002	31	3006	0	0	15	45090	21898680	0.00205903
contig-24000000	31	1655	0	0	4	6620	21898680	0.000302301
contig-19000001	31	1802	0	0	9	16218	21898680	0.000740593
contig-11000003	31	2948	0	0	4	11792	21898680	0.00053848
contig-25000002	31	1693	0	0	10	16930	21898680	0.000773106
contig-25000000	31	1907	0	0	6	11442	21898680	0.000522497
contig-20000001	31	1895	0	0	6	11370	21898680	0.000519209
contig-21000001	31	1691	0	0	9	15219	21898680	0.000694973
contig-26000002	31	2333	0	0	8	18664	21898680	0.000852289
contig-12000003	31	3864	0	0	21	81144	21898680	0.00370543
contig-26000000	31	1999	0	0	6	11994	21898680	0.000547704
contig-27000002	31	2089	0	0	5	10445	21898680	0.000476969
contig-27000000	31	1583	0	0	6	9498	21898680	0.000433725
contig-22000001	31	2571	0	0	7	17997	21898680	0.00082183
contig-13000003	31	2551	0	0	6	15306	21898680	0.000698946
contig-28000000	31	1577	0	0	14	22078	21898680	0.00100819
contig-28000002	31	1631	0	0	4	6524	21898680	0.000297918
contig-23000001	31	1897	0	0	15	28455	21898680	0.00129939
contig-29000000	31	1525	0	0	10	15250	21898680	0.000696389
contig-29000002	31	2046	0	0	4	8184	21898680	0.000373721
contig-14000003	31	2939	0	0	7	20573	21898680	0.000939463
contig-24000001	31	1642	0	0	4	6568	21898680	0.000299927
contig-30000000	31	1519	0	0	8	12152	21898680	0.000554919
contig-30000002	31	1613	0	0	9	14517	21898680	0.000662917
contig-15000003	31	2308	0	0	6	13848	21898680	0.000632367
contig-31000000	31	1614	0	0	8	12912	21898680	0.000589625
contig-25000001	31	1787	0	0	8	14296	21898680	0.000652825
contig-31000002	31	1665	0	0	13	21645	21898680	0.000988416
contig-32000000	31	1506	0	0	8	12048	21898680	0.00055017
contig-16000003	31	2310	0	0	6	13860	21898680	0.000632915
contig-26000001	31	1802	0	0	10	18020	21898680	0.000822881
contig-32000002	31	1590	0	0	13	20670	21898680	0.000943893
contig-33000000	31	1503	0	0	6	9018	21898680	0.000411806
contig-17000003	31	2389	0	0	7	16723	21898680	0.000763653
contig-33000002	31	1569	0	0	6	9414	21898680	0.000429889
contig-27000001	31	1576	0	0	9	14184	21898680	0.00064771
contig-34000000	31	1497	0	0	4	5988	21898680	0.000273441
contig-34000002	31	1567	0	0	5	7835	21898680	0.000357784
contig-28000001	31	1550	0	0	9	13950	21898680	0.000637025
contig-18000003	31	2135	0	0	8	17080	21898680	0.000779956
contig-35000000	31	1494	0	0	4	5976	21898680	0.000272893
contig-35000002	31	1546	0	0	6	9276	21898680	0.000423587
contig-29000001	31	1768	0	0	8	14144	21898680	0.000645884
contig-36000000	31	1472	0	0	5	7360	21898680	0.000336093
contig-36000002	31	1541	0	0	6	9246	21898680	0.000422217
contig-30000001	31	1515	0	0	3	4545	21898680	0.000207547
contig-37000000	31	1470	0	0	6	8820	21898680	0.000402764
contig-31000001	31	1509	0	0	12	18108	21898680	0.000826899
contig-37000002	31	1541	0	0	5	7705	21898680	0.000351848
contig-19000003	31	5167	0	0	42	217014	21898680	0.00990991
contig-38000000	31	1464	0	0	5	7320	21898680	0.000334267
contig-32000001	31	1823	0	0	4	7292	21898680	0.000332988
contig-38000002	31	2264	0	0	8	18112	21898680	0.000827082
contig-39000000	31	2173	0	0	12	26076	21898680	0.00119076
contig-33000001	31	1495	0	0	6	8970	21898680	0.000409614
contig-20000003	31	2196	0	0	14	30744	21898680	0.00140392
contig-39000002	31	1631	0	0	6	9786	21898680	0.000446876
contig-40000000	31	1446	0	0	7	10122	21898680	0.00046222
contig-34000001	31	1490	0	0	10	14900	21898680	0.000680406
contig-40000002	31	1757	0	0	4	7028	21898680	0.000320933
contig-21000003	31	2099	0	0	10	20990	21898680	0.000958505
contig-41000000	31	1489	0	0	38	56582	21898680	0.00258381
contig-35000001	31	1861	0	0	2	3722	21898680	0.000169965
contig-41000002	31	1670	0	0	6	10020	21898680	0.000457562
contig-42000000	31	1428	0	0	5	7140	21898680	0.000326047
contig-22000003	31	2008	0	0	4	8032	21898680	0.00036678
contig-42000002	31	1434	0	0	19	27246	21898680	0.00124418
contig-36000001	31	1460	0	0	4	5840	21898680	0.000266683
contig-43000000	31	1939	0	0	6	11634	21898680	0.000531265
contig-43000002	31	1524	0	0	14	21336	21898680	0.000974305
contig-23000003	31	2528	0	0	4	10112	21898680	0.000461763
contig-37000001	31	1457	0	0	7	10199	21898680	0.000465736
contig-44000000	31	1413	0	0	9	12717	21898680	0.00058072
contig-44000002	31	1767	0	0	14	24738	21898680	0.00112966
contig-24000003	31	1941	0	0	6	11646	21898680	0.000531813
contig-45000000	31	1413	0	0	3	4239	21898680	0.000193573
contig-38000001	31	1434	0	0	5	7170	21898680	0.000327417
contig-45000002	31	1439	0	0	25	35975	21898680	0.00164279
contig-46000000	31	1401	0	0	6	8406	21898680	0.000383859
contig-25000003	31	1924	0	0	5	9620	21898680	0.000439296
contig-39000001	31	1555	0	0	7	10885	21898680	0.000497062
contig-47000000	31	1420	0	0	7	9940	21898680	0.000453909
contig-46000002	31	1651	0	0	7	11557	21898680	0.000527749
contig-26000003	31	1950	0	0	8	15600	21898680	0.000712372
contig-40000001	31	1590	0	0	8	12720	21898680	0.000580857
contig-48000000	31	1766	0	0	4	7064	21898680	0.000322577
contig-47000002	31	1340	0	0	7	9380	21898680	0.000428336
contig-27000003	31	1871	0	0	11	20581	21898680	0.000939828
contig-49000000	31	1665	0	0	18	29970	21898680	0.00136858
contig-48000002	31	1308	0	0	4	5232	21898680	0.000238919
contig-41000001	31	1417	0	0	7	9919	21898680	0.00045295
contig-50000000	31	1411	0	0	2	2822	21898680	0.000128866
contig-28000003	31	1807	0	0	16	28912	21898680	0.00132026
contig-42000001	31	1405	0	0	6	8430	21898680	0.000384955
contig-49000002	31	1733	0	0	3	5199	21898680	0.000237412
contig-51000000	31	1352	0	0	5	6760	21898680	0.000308694
contig-29000003	31	1757	0	0	4	7028	21898680	0.000320933
contig-50000002	31	1299	0	0	6	7794	21898680	0.000355912
contig-43000001	31	1426	0	0	12	17112	21898680	0.000781417
contig-52000000	31	1346	0	0	17	22882	21898680	0.0010449
contig-30000003	31	1986	0	0	6	11916	21898680	0.000544142
contig-51000002	31	1277	0	0	6	7662	21898680	0.000349884
contig-53000000	31	1346	0	0	4	5384	21898680	0.00024586
contig-44000001	31	2171	0	0	9	19539	21898680	0.000892246
contig-31000003	31	2039	0	0	4	8156	21898680	0.000372443
contig-54000000	31	1344	0	0	8	10752	21898680	0.000490988
contig-52000002	31	1310	0	0	14	18340	21898680	0.000837493
contig-55000000	31	1339	0	0	2	2678	21898680	0.00012229
contig-45000001	31	1478	0	0	5	7390	21898680	0.000337463
contig-32000003	31	1600	0	0	8	12800	21898680	0.00058451
contig-53000002	31	1542	0	0	8	12336	21898680	0.000563322
contig-56000000	31	1326	0	0	4	5304	21898680	0.000242206
contig-54000002	31	1264	0	0	9	11376	21898680	0.000519483
contig-33000003	31	1596	0	0	4	6384	21898680	0.000291524
contig-57000000	31	1444	0	0	16	23104	21898680	0.00105504
contig-46000001	31	2189	0	0	26	56914	21898680	0.00259897
contig-55000002	31	1356	0	0	8	10848	21898680	0.000495372
contig-58000000	31	1314	0	0	12	15768	21898680	0.000720043
contig-47000001	31	1303	0	0	2	2606	21898680	0.000119003
contig-34000003	31	1629	0	0	4	6516	21898680	0.000297552
contig-56000002	31	1234	0	0	15	18510	21898680	0.000845256
contig-59000000	31	1285	0	0	6	7710	21898680	0.000352076
contig-57000002	31	1227	0	0	2	2454	21898680	0.000112062
contig-48000001	31	1292	0	0	6	7752	21898680	0.000353994
contig-35000003	31	1583	0	0	5	7915	21898680	0.000361437
contig-60000000	31	1667	0	0	13	21671	21898680	0.000989603
contig-58000002	31	1239	0	0	7	8673	21898680	0.000396051
contig-49000001	31	1268	0	0	4	5072	21898680	0.000231612
contig-61000000	31	1278	0	0	8	10224	21898680	0.000466877
contig-36000003	31	1582	0	0	4	6328	21898680	0.000288967
contig-59000002	31	1173	0	0	4	4692	21898680	0.000214259
contig-62000000	31	1284	0	0	11	14124	21898680	0.00064497
contig-50000001	31	1816	0	0	14	25424	21898680	0.00116098
contig-60000002	31	1169	0	0	2	2338	21898680	0.000106764
contig-37000003	31	2168	0	0	8	17344	21898680	0.000792011
contig-63000000	31	1679	0	0	16	26864	21898680	0.00122674
contig-61000002	31	1164	0	0	8	9312	21898680	0.000425231
contig-51000001	31	1265	0	0	9	11385	21898680	0.000519894
contig-38000003	31	1571	0	0	6	9426	21898680	0.000430437
contig-62000002	31	1162	0	0	7	8134	21898680	0.000371438
contig-64000000	31	1355	0	0	13	17615	21898680	0.000804386
contig-52000001	31	1212	0	0	10	12120	21898680	0.000553458
contig-39000003	31	1553	0	0	9	13977	21898680	0.000638258
contig-63000002	31	1162	0	0	6	6972	21898680	0.000318375
contig-65000000	31	1220	0	0	18	21960	21898680	0.0010028
contig-53000001	31	1267	0	0	4	5068	21898680	0.000231429
contig-40000003	31	1529	0	0	10	15290	21898680	0.000698216
contig-66000000	31	1211	0	0	6	7266	21898680	0.000331801
contig-54000001	31	1205	0	0	8	9640	21898680	0.000440209
contig-64000002	31	1968	0	0	14	27552	21898680	0.00125816
contig-41000003	31	1523	0	0	7	10661	21898680	0.000486833
contig-67000000	31	1211	0	0	11	13321	21898680	0.000608302
contig-55000001	31	1202	0	0	6	7212	21898680	0.000329335
contig-65000002	31	1152	0	0	4	4608	21898680	0.000210424
contig-68000000	31	1291	0	0	18	23238	21898680	0.00106116
contig-42000003	31	1490	0	0	6	8940	21898680	0.000408244
contig-66000002	31	1150	0	0	6	6900	21898680	0.000315087
contig-56000001	31	1216	0	0	10	12160	21898680	0.000555285
contig-69000000	31	1182	0	0	6	7092	21898680	0.000323855
contig-67000002	31	1385	0	0	9	12465	21898680	0.000569212
contig-43000003	31	1688	0	0	2	3376	21898680	0.000154165
contig-57000001	31	1415	0	0	18	25470	21898680	0.00116308
contig-70000000	31	1383	0	0	39	53937	21898680	0.00246303
contig-68000002	31	1180	0	0	3	3540	21898680	0.000161654
contig-44000003	31	1423	0	0	10	14230	21898680	0.000649811
contig-58000001	31	1337	0	0	20	26740	21898680	0.00122108
contig-71000000	31	1164	0	0	8	9312	21898680	0.000425231
contig-69000002	31	1126	0	0	14	15764	21898680	0.000719861
contig-45000003	31	1416	0	0	6	8496	21898680	0.000387969
contig-59000001	31	1218	0	0	6	7308	21898680	0.000333719
contig-72000000	31	1163	0	0	10	11630	21898680	0.000531082
contig-70000002	31	1125	0	0	12	13500	21898680	0.000616476
contig-60000001	31	1157	0	0	13	15041	21898680	0.000686845
contig-46000003	31	1482	0	0	6	8892	21898680	0.000406052
contig-73000000	31	1161	0	0	4	4644	21898680	0.000212068
contig-71000002	31	1195	0	0	2	2390	21898680	0.000109139
contig-61000001	31	1387	0	0	4	5548	21898680	0.000253349
contig-74000000	31	1144	0	0	7	8008	21898680	0.000365684
contig-47000003	31	1586	0	0	7	11102	21898680	0.000506971
contig-72000002	31	1388	0	0	5	6940	21898680	0.000316914
contig-62000001	31	1147	0	0	6	6882	21898680	0.000314266
contig-75000000	31	1452	0	0	12	17424	21898680	0.000795664
contig-48000003	31	1374	0	0	5	6870	21898680	0.000313718
contig-63000001	31	1140	0	0	18	20520	21898680	0.000937043
contig-73000002	31	1339	0	0	2	2678	21898680	0.00012229
contig-76000000	31	1227	0	0	8	9816	21898680	0.000448246
contig-74000002	31	1089	0	0	2	2178	21898680	9.9458e-05
contig-77000000	31	1142	0	0	9	10278	21898680	0.000469343
contig-64000001	31	2147	0	0	4	8588	21898680	0.00039217
contig-49000003	31	2438	0	0	13	31694	21898680	0.0014473
contig-75000002	31	1585	0	0	6	9510	21898680	0.000434273
contig-78000000	31	1507	0	0	20	30140	21898680	0.00137634
contig-65000001	31	1122	0	0	4	4488	21898680	0.000204944
contig-50000003	31	1366	0	0	10	13660	21898680	0.000623782
contig-79000000	31	1133	0	0	6	6798	21898680	0.00031043
contig-76000002	31	1075	0	0	2	2150	21898680	9.81794e-05
contig-66000001	31	1161	0	0	8	9288	21898680	0.000424135
contig-51000003	31	1363	0	0	6	8178	21898680	0.000373447
contig-80000000	31	1113	0	0	6	6678	21898680	0.00030495
contig-77000002	31	1126	0	0	8	9008	21898680	0.000411349
contig-67000001	31	1151	0	0	6	6906	21898680	0.000315361
contig-52000003	31	1434	0	0	7	10038	21898680	0.000458384
contig-81000000	31	1138	0	0	6	6828	21898680	0.0003118
contig-78000002	31	1047	0	0	4	4188	21898680	0.000191244
contig-68000001	31	1093	0	0	8	8744	21898680	0.000399293
contig-53000003	31	1360	0	0	12	16320	21898680	0.00074525
contig-82000000	31	1107	0	0	6	6642	21898680	0.000303306
contig-79000002	31	1041	0	0	4	4164	21898680	0.000190148
contig-69000001	31	1404	0	0	10	14040	21898680	0.000641135
contig-83000000	31	1082	0	0	16	17312	21898680	0.00079055
contig-80000002	31	1039	0	0	7	7273	21898680	0.00033212
contig-70000001	31	1090	0	0	2	2180	21898680	9.95494e-05
contig-84000000	31	1077	0	0	4	4308	21898680	0.000196724
contig-81000002	31	1013	0	0	4	4052	21898680	0.000185034
contig-54000003	31	4210	0	0	32	134720	21898680	0.00615197
contig-71000001	31	1085	0	0	4	4340	21898680	0.000198185
contig-85000000	31	1801	0	0	11	19811	21898680	0.000904666
contig-82000002	31	1000	0	0	4	4000	21898680	0.000182659
contig-55000003	31	1336	0	0	4	5344	21898680	0.000244033
contig-72000001	31	1078	0	0	3	3234	21898680	0.00014768
contig-86000000	31	1045	0	0	7	7315	21898680	0.000334038
contig-83000002	31	996	0	0	4	3984	21898680	0.000181929
contig-56000003	31	1336	0	0	6	8016	21898680	0.000366049
contig-73000001	31	1070	0	0	7	7490	21898680	0.00034203
contig-87000000	31	1026	0	0	4	4104	21898680	0.000187409
contig-84000002	31	994	0	0	5	4970	21898680	0.000226954
contig-57000003	31	1335	0	0	6	8010	21898680	0.000365775
contig-74000001	31	1066	0	0	6	6396	21898680	0.000292072
contig-88000000	31	1023	0	0	7	7161	21898680	0.000327006
contig-85000002	31	1069	0	0	5	5345	21898680	0.000244079
contig-75000001	31	1452	0	0	13	18876	21898680	0.00086197
contig-58000003	31	1503	0	0	19	28557	21898680	0.00130405
contig-89000000	31	1016	0	0	10	10160	21898680	0.000463955
contig-86000002	31	1195	0	0	6	7170	21898680	0.000327417
contig-76000001	31	1056	0	0	5	5280	21898680	0.00024111
contig-90000000	31	1007	0	0	4	4028	21898680	0.000183938
contig-59000003	31	1341	0	0	10	13410	21898680	0.000612366
contig-87000002	31	992	0	0	4	3968	21898680	0.000181198
contig-91000000	31	1006	0	0	6	6036	21898680	0.000275633
contig-77000001	31	1052	0	0	6	6312	21898680	0.000288237
contig-60000003	31	1308	0	0	6	7848	21898680	0.000358378
contig-92000000	31	1005	0	0	2	2010	21898680	9.17864e-05
contig-88000002	31	1009	0	0	7	7063	21898680	0.000322531
contig-78000001	31	1050	0	0	4	4200	21898680	0.000191792
contig-93000000	31	981	0	0	10	9810	21898680	0.000447972
contig-61000003	31	1303	0	0	8	10424	21898680	0.00047601
contig-79000001	31	1139	0	0	7	7973	21898680	0.000364086
contig-89000002	31	1288	0	0	12	15456	21898680	0.000705796
contig-62000003	31	1294	0	0	8	10352	21898680	0.000472723
contig-94000000	31	1199	0	0	6	7194	21898680	0.000328513
contig-80000001	31	1072	0	0	7	7504	21898680	0.000342669
contig-95000000	31	977	0	0	8	7816	21898680	0.000356916
contig-90000002	31	1154	0	0	6	6924	21898680	0.000316183
contig-81000001	31	1395	0	0	4	5580	21898680	0.00025481
contig-63000003	31	1614	0	0	9	14526	21898680	0.000663328
contig-96000000	31	971	0	0	8	7768	21898680	0.000354725
contig-91000002	31	978	0	0	6	5868	21898680	0.000267961
contig-92000002	31	992	0	0	10	9920	21898680	0.000452995
contig-82000001	31	1395	0	0	8	11160	21898680	0.00050962
contig-64000003	31	1368	0	0	16	21888	21898680	0.000999512
contig-97000000	31	1958	0	0	4	7832	21898680	0.000357647
contig-93000002	31	962	0	0	2	1924	21898680	8.78592e-05
contig-83000001	31	1020	0	0	5	5100	21898680	0.000232891
contig-98000000	31	1066	0	0	7	7462	21898680	0.000340751
contig-65000003	31	1262	0	0	5	6310	21898680	0.000288145
contig-94000002	31	961	0	0	5	4805	21898680	0.00021942
contig-84000001	31	1016	0	0	6	6096	21898680	0.000278373
contig-99000000	31	962	0	0	7	6734	21898680	0.000307507
contig-95000002	31	960	0	0	8	7680	21898680	0.000350706
contig-66000003	31	1273	0	0	6	7638	21898680	0.000348788
contig-85000001	31	1015	0	0	6	6090	21898680	0.000278099
contig-96000002	31	1291	0	0	12	15492	21898680	0.00070744
contig-67000003	31	1660	0	0	10	16600	21898680	0.000758037
contig-86000001	31	1013	0	0	7	7091	21898680	0.000323809
contig-100000000	31	2299	0	0	4	9196	21898680	0.000419934
contig-97000002	31	955	0	0	5	4775	21898680	0.00021805
contig-68000003	31	1240	0	0	4	4960	21898680	0.000226498
contig-101000000	31	958	0	0	2	1916	21898680	8.74939e-05
contig-98000002	31	951	0	0	9	8559	21898680	0.000390845
contig-87000001	31	1011	0	0	7	7077	21898680	0.00032317
contig-102000000	31	956	0	0	15	14340	21898680	0.000654834
contig-69000003	31	1232	0	0	14	17248	21898680	0.000787627
contig-99000002	31	948	0	0	10	9480	21898680	0.000432903
contig-88000001	31	1321	0	0	5	6605	21898680	0.000301616
contig-103000000	31	954	0	0	7	6678	21898680	0.00030495
contig-100000002	31	945	0	0	6	5670	21898680	0.00025892
contig-70000003	31	1208	0	0	11	13288	21898680	0.000606795
contig-89000001	31	996	0	0	4	3984	21898680	0.000181929
contig-104000000	31	970	0	0	12	11640	21898680	0.000531539
contig-101000002	31	943	0	0	4	3772	21898680	0.000172248
contig-71000003	31	1203	0	0	10	12030	21898680	0.000549348
contig-105000000	31	929	0	0	10	9290	21898680	0.000424226
contig-90000001	31	1070	0	0	9	9630	21898680	0.000439753
contig-102000002	31	943	0	0	3	2829	21898680	0.000129186
contig-106000000	31	947	0	0	6	5682	21898680	0.000259468
contig-72000003	31	1194	0	0	8	9552	21898680	0.000436191
contig-91000001	31	987	0	0	8	7896	21898680	0.00036057
contig-103000002	31	939	0	0	4	3756	21898680	0.000171517
contig-107000000	31	1139	0	0	23	26197	21898680	0.00119628
contig-73000003	31	1209	0	0	8	9672	21898680	0.00044167
contig-92000001	31	1009	0	0	4	4036	21898680	0.000184303
contig-104000002	31	938	0	0	4	3752	21898680	0.000171335
contig-108000000	31	1217	0	0	7	8519	21898680	0.000389019
contig-74000003	31	1176	0	0	2	2352	21898680	0.000107404
contig-105000002	31	938	0	0	6	5628	21898680	0.000257002
contig-93000001	31	992	0	0	4	3968	21898680	0.000181198
contig-109000000	31	1199	0	0	6	7194	21898680	0.000328513
contig-106000002	31	936	0	0	12	11232	21898680	0.000512908
contig-75000003	31	1585	0	0	17	26945	21898680	0.00123044
contig-110000000	31	901	0	0	8	7208	21898680	0.000329152
contig-94000001	31	996	0	0	18	17928	21898680	0.000818679
contig-107000002	31	935	0	0	9	8415	21898680	0.00038427
contig-111000000	31	886	0	0	2	1772	21898680	8.09181e-05
contig-76000003	31	1458	0	0	2	2916	21898680	0.000133159
contig-112000000	31	886	0	0	2	1772	21898680	8.09181e-05
contig-108000002	31	913	0	0	8	7304	21898680	0.000333536
contig-95000001	31	994	0	0	8	7952	21898680	0.000363127
contig-113000000	31	886	0	0	6	5316	21898680	0.000242754
contig-109000002	31	905	0	0	6	5430	21898680	0.00024796
contig-77000003	31	1146	0	0	6	6876	21898680	0.000313992
contig-96000001	31	980	0	0	9	8820	21898680	0.000402764
contig-114000000	31	910	0	0	10	9100	21898680	0.00041555
contig-110000002	31	904	0	0	2	1808	21898680	8.25621e-05
contig-97000001	31	971	0	0	7	6797	21898680	0.000310384
contig-111000002	31	903	0	0	6	5418	21898680	0.000247412
contig-115000000	31	1274	0	0	2	2548	21898680	0.000116354
contig-78000003	31	2123	0	0	12	25476	21898680	0.00116336
contig-98000001	31	964	0	0	4	3856	21898680	0.000176084
contig-116000000	31	872	0	0	5	4360	21898680	0.000199099
contig-112000002	31	1391	0	0	25	34775	21898680	0.001588
contig-79000003	31	1133	0	0	5	5665	21898680	0.000258691
contig-117000000	31	865	0	0	2	1730	21898680	7.90002e-05
contig-99000001	31	962	0	0	4	3848	21898680	0.000175718
contig-113000002	31	899	0	0	6	5394	21898680	0.000246316
contig-118000000	31	865	0	0	6	5190	21898680	0.000237001
contig-100000001	31	957	0	0	8	7656	21898680	0.00034961
contig-80000003	31	1331	0	0	4	5324	21898680	0.00024312
contig-114000002	31	907	0	0	9	8163	21898680	0.000372762
contig-119000000	31	876	0	0	6	5256	21898680	0.000240014
contig-101000001	31	956	0	0	9	8604	21898680	0.0003929
contig-120000000	31	857	0	0	7	5999	21898680	0.000273943
contig-81000003	31	1127	0	0	4	4508	21898680	0.000205857
contig-102000001	31	945	0	0	4	3780	21898680	0.000172613
contig-121000000	31	847	0	0	7	5929	21898680	0.000270747
contig-115000002	31	1434	0	0	8	11472	21898680	0.000523867
contig-122000000	31	847	0	0	4	3388	21898680	0.000154713
contig-82000003	31	1120	0	0	7	7840	21898680	0.000358012
contig-116000002	31	887	0	0	7	6209	21898680	0.000283533
contig-103000001	31	1279	0	0	9	11511	21898680	0.000525648
contig-123000000	31	843	0	0	6	5058	21898680	0.000230973
contig-117000002	31	872	0	0	2	1744	21898680	7.96395e-05
contig-104000001	31	938	0	0	2	1876	21898680	8.56673e-05
contig-83000003	31	1104	0	0	4	4416	21898680	0.000201656
contig-124000000	31	865	0	0	8	6920	21898680	0.000316001
contig-118000002	31	876	0	0	7	6132	21898680	0.000280017
contig-105000001	31	960	0	0	10	9600	21898680	0.000438383
contig-125000000	31	840	0	0	4	3360	21898680	0.000153434
contig-84000003	31	1080	0	0	12	12960	21898680	0.000591816
contig-119000002	31	866	0	0	6	5196	21898680	0.000237275
contig-126000000	31	836	0	0	6	5016	21898680	0.000229055
contig-106000001	31	930	0	0	3	2790	21898680	0.000127405
contig-85000003	31	1076	0	0	4	4304	21898680	0.000196542
contig-127000000	31	835	0	0	8	6680	21898680	0.000305041
contig-120000002	31	1044	0	0	6	6264	21898680	0.000286045
contig-107000001	31	924	0	0	12	11088	21898680	0.000506332
contig-86000003	31	1157	0	0	4	4628	21898680	0.000211337
contig-128000000	31	834	0	0	7	5838	21898680	0.000266591
contig-121000002	31	859	0	0	6	5154	21898680	0.000235357
contig-108000001	31	924	0	0	6	5544	21898680	0.000253166
contig-129000000	31	1047	0	0	6	6282	21898680	0.000286867
