locus_tag	ftype	length_bp	gene	EC_number	COG	product
POBNIBBE_00071	CDS	2193	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
POBNIBBE_00072	CDS	228				hypothetical protein
POBNIBBE_00073	CDS	684	lysS	6.1.1.6		Lysine--tRNA ligase
POBNIBBE_00074	rRNA	112				5S ribosomal RNA
POBNIBBE_00075	tRNA	76				tRNA-Val(tac)
POBNIBBE_00076	tRNA	76				tRNA-Lys(ttt)
POBNIBBE_00077	tRNA	72				tRNA-Gly(gcc)
POBNIBBE_00078	tRNA	73				tRNA-Ala(tgc)
POBNIBBE_00079	CDS	900	rocF	3.5.3.1		Arginase
POBNIBBE_00080	CDS	573	sigW		COG1595	ECF RNA polymerase sigma factor SigW
POBNIBBE_00081	CDS	612	rsiW		COG5662	Anti-sigma-W factor RsiW
POBNIBBE_00082	CDS	822	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
POBNIBBE_00083	CDS	1239	cdaR		COG4856	CdaA regulatory protein CdaR
POBNIBBE_00084	CDS	1350	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
POBNIBBE_00085	CDS	624				hypothetical protein
POBNIBBE_00086	CDS	264				hypothetical protein
POBNIBBE_00087	CDS	987				hypothetical protein
POBNIBBE_00088	CDS	846	recT		COG3723	Protein RecT
POBNIBBE_00089	CDS	933				hypothetical protein
POBNIBBE_00090	CDS	195				hypothetical protein
POBNIBBE_00091	CDS	192				hypothetical protein
POBNIBBE_00092	CDS	288				hypothetical protein
POBNIBBE_00093	CDS	270				hypothetical protein
POBNIBBE_00094	CDS	753				hypothetical protein
POBNIBBE_00095	CDS	222				hypothetical protein
POBNIBBE_00096	CDS	270				hypothetical protein
POBNIBBE_00097	CDS	474				hypothetical protein
POBNIBBE_00098	CDS	441	immA	3.4.-.-	COG2856	Metallopeptidase ImmA
POBNIBBE_00099	CDS	1134	Int-Tn			Transposase from transposon Tn916
POBNIBBE_00100	tRNA	83				tRNA-Leu(caa)
POBNIBBE_00101	tRNA	74				tRNA-Cys(gca)
POBNIBBE_00102	CDS	2601	pcrA_1	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
POBNIBBE_00103	CDS	2532				hypothetical protein
POBNIBBE_00104	CDS	1680	yjcD	3.6.4.12	COG0210	Putative ATP-dependent DNA helicase YjcD
POBNIBBE_00105	CDS	537				hypothetical protein
POBNIBBE_00106	CDS	564				hypothetical protein
POBNIBBE_00107	CDS	636				hypothetical protein
POBNIBBE_00108	CDS	1239	vdcA	2.7.7.65		Diguanylate cyclase VdcA
POBNIBBE_00109	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
POBNIBBE_00110	CDS	153				hypothetical protein
POBNIBBE_00111	CDS	1227	htrA_1	3.4.21.107	COG0265	Serine protease Do-like HtrA
POBNIBBE_00112	CDS	795	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
POBNIBBE_00113	CDS	786	yycI		COG4853	Two-component system WalR/WalK regulatory protein YycI
POBNIBBE_00114	CDS	1341	yycH		COG4863	Two-component system WalR/WalK regulatory protein YycH
POBNIBBE_00115	CDS	648	walK_1	2.7.13.3		Sensor histidine kinase WalK
POBNIBBE_00116	CDS	1173	amyS	3.2.1.1		Alpha-amylase
POBNIBBE_00117	CDS	594				hypothetical protein
POBNIBBE_00118	CDS	297				hypothetical protein
POBNIBBE_00119	CDS	315				hypothetical protein
POBNIBBE_00120	CDS	912				hypothetical protein
POBNIBBE_00121	CDS	609				hypothetical protein
POBNIBBE_00122	CDS	171				hypothetical protein
POBNIBBE_00123	CDS	1101	tgpA	2.3.2.13	COG1305	Protein-glutamine gamma-glutamyltransferase
POBNIBBE_00124	CDS	1659	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
POBNIBBE_00125	CDS	1326	pbuG		COG2252	Guanine/hypoxanthine permease PbuG
POBNIBBE_00126	CDS	549	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
POBNIBBE_00127	CDS	1368				hypothetical protein
POBNIBBE_00128	CDS	888	rfbX		COG2244	Putative O-antigen transporter
POBNIBBE_00129	CDS	1158	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
POBNIBBE_00130	CDS	918				hypothetical protein
POBNIBBE_00131	CDS	579				hypothetical protein
POBNIBBE_00132	CDS	477				hypothetical protein
POBNIBBE_00133	CDS	636	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
POBNIBBE_00134	CDS	558	rmlC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
POBNIBBE_00135	CDS	1014	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
POBNIBBE_00136	CDS	855	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
POBNIBBE_00137	CDS	1242	flgK		COG1256	Flagellar hook-associated protein 1
POBNIBBE_00138	CDS	906	flgL		COG1344	Flagellar hook-associated protein 3
POBNIBBE_00139	CDS	591	yviE			putative protein YviE
POBNIBBE_00140	CDS	438	fliW		COG1699	Flagellar assembly factor FliW
POBNIBBE_00141	CDS	243	csrA		COG1551	Translational regulator CsrA
POBNIBBE_00142	CDS	186				hypothetical protein
POBNIBBE_00143	CDS	1950	hag_1		COG1344	Flagellin
POBNIBBE_00144	CDS	114	hag_2		COG1344	Flagellin
POBNIBBE_00145	CDS	246				hypothetical protein
POBNIBBE_00146	CDS	561	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
POBNIBBE_00147	CDS	231	fin			Anti-sigma-F factor Fin
POBNIBBE_00148	CDS	3534	mfd	3.6.4.-		Transcription-repair-coupling factor
POBNIBBE_00149	CDS	150				hypothetical protein
POBNIBBE_00150	CDS	537	spoVT_1		COG2002	Stage V sporulation protein T
POBNIBBE_00151	CDS	456				hypothetical protein
POBNIBBE_00152	CDS	153				hypothetical protein
POBNIBBE_00153	CDS	648				hypothetical protein
POBNIBBE_00154	CDS	588				hypothetical protein
POBNIBBE_00155	CDS	735				hypothetical protein
POBNIBBE_00156	CDS	495				hypothetical protein
POBNIBBE_00157	CDS	615				hypothetical protein
POBNIBBE_00158	CDS	297				hypothetical protein
POBNIBBE_00159	CDS	1179		2.7.8.-		Cardiolipin synthase
POBNIBBE_00160	CDS	192				hypothetical protein
POBNIBBE_00161	CDS	1503				hypothetical protein
POBNIBBE_00162	CDS	1722				hypothetical protein
POBNIBBE_00163	CDS	570				hypothetical protein
POBNIBBE_00164	CDS	633				hypothetical protein
POBNIBBE_00165	CDS	1437				hypothetical protein
POBNIBBE_00166	CDS	3063	hsdR_1	3.1.21.3		Type-1 restriction enzyme R protein
POBNIBBE_00167	CDS	1224				hypothetical protein
POBNIBBE_00168	CDS	1548		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
POBNIBBE_00169	CDS	1029				hypothetical protein
POBNIBBE_00170	CDS	1275	pgcA_1	5.4.2.2		Phosphoglucomutase
POBNIBBE_00171	CDS	972	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
POBNIBBE_00172	CDS	147				hypothetical protein
POBNIBBE_00173	CDS	243				hypothetical protein
POBNIBBE_00174	CDS	1338				hypothetical protein
POBNIBBE_00175	CDS	1332	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase MalH
POBNIBBE_00176	CDS	1602	malP		COG1263	PTS system maltose-specific EIICB component
POBNIBBE_00177	CDS	594				hypothetical protein
POBNIBBE_00178	CDS	174				hypothetical protein
POBNIBBE_00179	CDS	1668	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
POBNIBBE_00180	CDS	831				hypothetical protein
POBNIBBE_00181	CDS	834				hypothetical protein
POBNIBBE_00182	tRNA	75				tRNA-Arg(cct)
POBNIBBE_00183	CDS	183				hypothetical protein
POBNIBBE_00184	CDS	252				hypothetical protein
POBNIBBE_00185	CDS	1167	cwlM	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase CwlM
POBNIBBE_00186	CDS	348				hypothetical protein
POBNIBBE_00187	CDS	231				hypothetical protein
POBNIBBE_00188	CDS	1056	hsdM_1	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
POBNIBBE_00189	CDS	1152				hypothetical protein
POBNIBBE_00190	CDS	3345	hsdR_2	3.1.21.3		Type-1 restriction enzyme R protein
POBNIBBE_00191	CDS	213				hypothetical protein
POBNIBBE_00192	CDS	141	yjoA		COG2318	putative protein YjoA
POBNIBBE_00193	CDS	561	cwlC	3.5.1.28	COG0860	Sporulation-specific N-acetylmuramoyl-L-alanine amidase
POBNIBBE_00194	CDS	1962	ltaS1		COG1368	Lipoteichoic acid synthase 1
POBNIBBE_00195	CDS	141				hypothetical protein
POBNIBBE_00196	CDS	1344	ktrB		COG0168	Ktr system potassium uptake protein B
POBNIBBE_00197	CDS	717				hypothetical protein
POBNIBBE_00198	CDS	606	tnpR		COG1961	Transposon gamma-delta resolvase
POBNIBBE_00199	CDS	333				hypothetical protein
POBNIBBE_00200	CDS	486				hypothetical protein
POBNIBBE_00201	CDS	1533	vspIM	2.1.1.72		Modification methylase VspI
POBNIBBE_00202	CDS	642	aplIR_1	3.1.21.4		Type-2 restriction enzyme AplI
POBNIBBE_00203	CDS	489	sapB		COG1285	Protein SapB
POBNIBBE_00204	CDS	1773				hypothetical protein
POBNIBBE_00205	CDS	1434				hypothetical protein
POBNIBBE_00206	CDS	1434	hsdM_2	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
POBNIBBE_00207	CDS	2832	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
POBNIBBE_00208	CDS	249	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
POBNIBBE_00209	CDS	423	rpsL			30S ribosomal protein S12
POBNIBBE_00210	CDS	471	rpsG			30S ribosomal protein S7
POBNIBBE_00211	CDS	624	bmrR		COG0789	Multidrug-efflux transporter 1 regulator
POBNIBBE_00212	CDS	417				hypothetical protein
POBNIBBE_00213	CDS	669				hypothetical protein
POBNIBBE_00214	CDS	1200				hypothetical protein
POBNIBBE_00215	CDS	1341				hypothetical protein
POBNIBBE_00216	CDS	894				hypothetical protein
POBNIBBE_00217	CDS	570				hypothetical protein
POBNIBBE_00218	CDS	1551				hypothetical protein
POBNIBBE_00219	CDS	1830		3.1.4.-	COG3437	Cyclic di-GMP phosphodiesterase
POBNIBBE_00220	CDS	93				hypothetical protein
POBNIBBE_00221	CDS	741				hypothetical protein
POBNIBBE_00222	CDS	1389				hypothetical protein
POBNIBBE_00223	CDS	792	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
POBNIBBE_00224	CDS	906	qoxA	1.10.3.-	COG1622	Quinol oxidase subunit 2
POBNIBBE_00225	CDS	213				hypothetical protein
POBNIBBE_00226	CDS	345				hypothetical protein
POBNIBBE_00227	CDS	174				hypothetical protein
POBNIBBE_00228	CDS	678				hypothetical protein
POBNIBBE_00229	CDS	1332	lytB		COG2247	Amidase enhancer
POBNIBBE_00230	CDS	1257	kanE	2.4.1.301		Alpha-D-kanosaminyltransferase
POBNIBBE_00231	CDS	267				hypothetical protein
POBNIBBE_00232	CDS	1083	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
POBNIBBE_00233	CDS	534				hypothetical protein
POBNIBBE_00234	CDS	183	yfhH			putative protein YfhH
POBNIBBE_00235	CDS	828	recX			Regulatory protein RecX
POBNIBBE_00236	CDS	555				hypothetical protein
POBNIBBE_00237	CDS	129				hypothetical protein
POBNIBBE_00238	CDS	186				hypothetical protein
POBNIBBE_00239	CDS	831	gspA		COG1442	General stress protein A
POBNIBBE_00240	CDS	342				hypothetical protein
POBNIBBE_00241	CDS	1209				hypothetical protein
POBNIBBE_00242	CDS	591	topA_1	5.99.1.2	COG0550	DNA topoisomerase 1
POBNIBBE_00243	CDS	198				hypothetical protein
POBNIBBE_00244	CDS	828	ybdM	2.7.11.1	COG0515	putative serine/threonine-protein kinase YbdM
POBNIBBE_00245	CDS	264				hypothetical protein
POBNIBBE_00246	CDS	267				hypothetical protein
POBNIBBE_00247	CDS	207				hypothetical protein
POBNIBBE_00248	CDS	786	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
POBNIBBE_00249	CDS	273	nos	1.14.14.47	COG4362	Nitric oxide synthase oxygenase
POBNIBBE_00250	CDS	1011				hypothetical protein
POBNIBBE_00251	CDS	1368	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
POBNIBBE_00252	CDS	363				hypothetical protein
POBNIBBE_00253	CDS	561				hypothetical protein
POBNIBBE_00254	CDS	687	graR		COG0745	Response regulator protein GraR
POBNIBBE_00255	CDS	1005	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
POBNIBBE_00256	CDS	720	bceA		COG1136	Bacitracin export ATP-binding protein BceA
POBNIBBE_00257	CDS	240				hypothetical protein
POBNIBBE_00258	CDS	2331	cas3	3.1.-.-		CRISPR-associated nuclease/helicase Cas3
POBNIBBE_00259	CDS	510				hypothetical protein
POBNIBBE_00260	CDS	1002	cas1_2	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
POBNIBBE_00261	CDS	291	cas2_2	3.1.-.-	COG1343	CRISPR-associated endoribonuclease Cas2
POBNIBBE_00262	CDS	747				hypothetical protein
POBNIBBE_00263	CDS	297				hypothetical protein
POBNIBBE_00264	CDS	195				hypothetical protein
POBNIBBE_00265	CDS	852				hypothetical protein
POBNIBBE_00266	CDS	2133				hypothetical protein
POBNIBBE_00267	CDS	1401	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
POBNIBBE_00268	CDS	186				hypothetical protein
POBNIBBE_00269	CDS	900	natA_1		COG4555	ABC transporter ATP-binding protein NatA
POBNIBBE_00270	CDS	1230	yhaP		COG1668	putative protein YhaP
POBNIBBE_00271	CDS	978	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
POBNIBBE_00272	CDS	129				hypothetical protein
POBNIBBE_00273	CDS	165				hypothetical protein
POBNIBBE_00274	CDS	1197	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
POBNIBBE_00275	CDS	747	yunB			Sporulation protein YunB
POBNIBBE_00276	CDS	315				hypothetical protein
POBNIBBE_00277	CDS	1383	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
POBNIBBE_00278	CDS	351				hypothetical protein
POBNIBBE_00279	CDS	942	yxlF_1	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
POBNIBBE_00280	CDS	684				hypothetical protein
POBNIBBE_00281	CDS	1326				hypothetical protein
POBNIBBE_00282	CDS	684	natA_2		COG4555	ABC transporter ATP-binding protein NatA
POBNIBBE_00283	CDS	204				hypothetical protein
POBNIBBE_00284	CDS	291	gatC	6.3.5.-	COG0721	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
POBNIBBE_00285	CDS	93				hypothetical protein
POBNIBBE_00286	CDS	543	smc_1			Chromosome partition protein Smc
POBNIBBE_00287	CDS	777				hypothetical protein
POBNIBBE_00288	CDS	267	yvdD		COG1611	LOG family protein YvdD
POBNIBBE_00289	CDS	1224				hypothetical protein
POBNIBBE_00290	CDS	687	ligA	6.5.1.2		DNA ligase
POBNIBBE_00291	CDS	705				hypothetical protein
POBNIBBE_00292	CDS	474				hypothetical protein
POBNIBBE_00293	CDS	159				hypothetical protein
POBNIBBE_00294	CDS	498	ykuD	2.-.-.-	COG1376	Putative L,D-transpeptidase YkuD
POBNIBBE_00295	CDS	972				hypothetical protein
POBNIBBE_00296	CDS	459				hypothetical protein
POBNIBBE_00297	CDS	609				hypothetical protein
POBNIBBE_00298	CDS	483	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
POBNIBBE_00299	CDS	1470	gltX	6.1.1.17		Glutamate--tRNA ligase
POBNIBBE_00300	CDS	678	cysE	2.3.1.30	COG1045	Serine acetyltransferase
POBNIBBE_00301	CDS	1410	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
POBNIBBE_00302	CDS	888				hypothetical protein
POBNIBBE_00303	CDS	1500	ftsH2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
POBNIBBE_00304	CDS	1473				hypothetical protein
POBNIBBE_00305	CDS	195				hypothetical protein
POBNIBBE_00306	CDS	327				hypothetical protein
POBNIBBE_00307	CDS	837				hypothetical protein
POBNIBBE_00308	CDS	984				hypothetical protein
POBNIBBE_00309	rRNA	112				5S ribosomal RNA
POBNIBBE_00310	CDS	288				hypothetical protein
POBNIBBE_00311	CDS	729				hypothetical protein
POBNIBBE_00312	CDS	312	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
POBNIBBE_00313	CDS	2367	copA	3.6.3.54	COG2217	Copper-exporting P-type ATPase
POBNIBBE_00314	CDS	135	rpmH			50S ribosomal protein L34
POBNIBBE_00315	CDS	498	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
POBNIBBE_00316	CDS	765	misCA_1		COG0706	Membrane protein insertase MisCA
POBNIBBE_00317	CDS	657				hypothetical protein
POBNIBBE_00318	CDS	699	mnmE_1	3.6.-.-	COG0486	tRNA modification GTPase MnmE
POBNIBBE_00319	CDS	687	glxR		COG0664	CRP-like cAMP-activated global transcriptional regulator
POBNIBBE_00320	CDS	234	copZ_1			Copper chaperone CopZ
POBNIBBE_00321	CDS	639				hypothetical protein
POBNIBBE_00322	CDS	312	xerH		COG0582	Tyrosine recombinase XerH
POBNIBBE_00323	tRNA	74				tRNA-Val(gac)
POBNIBBE_00324	CDS	825		3.1.4.-	COG2206	3'3'-cGAMP-specific phosphodiesterase 3
POBNIBBE_00325	CDS	1293	eno	4.2.1.11	COG0148	Enolase
POBNIBBE_00326	CDS	1422	gpmI	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
POBNIBBE_00327	CDS	723	topB	5.99.1.2	COG0550	DNA topoisomerase 3
POBNIBBE_00328	CDS	2250	pflB	2.3.1.54	COG1882	Formate acetyltransferase
POBNIBBE_00329	CDS	750	pflA	1.97.1.4		Pyruvate formate-lyase-activating enzyme
POBNIBBE_00330	CDS	699	fnr_1		COG0664	Anaerobic regulatory protein
POBNIBBE_00331	CDS	693	narX_1	1.7.99.4		Nitrate reductase-like protein NarX
POBNIBBE_00332	CDS	561	narX_2	1.7.99.4		Nitrate reductase-like protein NarX
POBNIBBE_00333	CDS	1533	narH	1.7.99.4	COG1140	Respiratory nitrate reductase 1 beta chain
POBNIBBE_00334	CDS	288	narG_1	1.7.99.4	COG5013	Respiratory nitrate reductase 1 alpha chain
POBNIBBE_00335	CDS	1587	mmcO	1.16.3.1	COG2132	Multicopper oxidase MmcO
POBNIBBE_00336	CDS	966				hypothetical protein
POBNIBBE_00337	CDS	228				hypothetical protein
POBNIBBE_00338	CDS	1299				hypothetical protein
POBNIBBE_00339	CDS	519				hypothetical protein
POBNIBBE_00340	CDS	1260				hypothetical protein
POBNIBBE_00341	CDS	2181	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
POBNIBBE_00342	CDS	192				hypothetical protein
POBNIBBE_00343	CDS	1077		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
POBNIBBE_00344	CDS	144				hypothetical protein
POBNIBBE_00345	CDS	312	ydfK		COG1811	putative membrane protein YdfK
POBNIBBE_00346	CDS	621				hypothetical protein
POBNIBBE_00347	CDS	912	mscS		COG0668	Small-conductance mechanosensitive channel
POBNIBBE_00348	CDS	198				hypothetical protein
POBNIBBE_00349	CDS	630		4.2.1.112		Acetylene hydratase
POBNIBBE_00350	CDS	552				hypothetical protein
POBNIBBE_00351	CDS	549				hypothetical protein
POBNIBBE_00352	CDS	1719	htpX	3.4.24.-	COG0501	Protease HtpX
POBNIBBE_00353	CDS	285				hypothetical protein
POBNIBBE_00354	CDS	1113	htrA_2	3.4.21.107	COG0265	Serine protease Do-like HtrA
POBNIBBE_00355	CDS	738	walK_2	2.7.13.3		Sensor histidine kinase WalK
POBNIBBE_00356	CDS	570	bm3R1			HTH-type transcriptional repressor Bm3R1
POBNIBBE_00357	CDS	2310	esaA		COG1511	ESAT-6 secretion accessory factor EsaA
POBNIBBE_00358	CDS	246				hypothetical protein
POBNIBBE_00359	CDS	525				hypothetical protein
POBNIBBE_00360	CDS	822	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
POBNIBBE_00361	CDS	930	lacF_2			Lactose transport system permease protein LacF
POBNIBBE_00362	CDS	996	msmE		COG1653	Multiple sugar-binding protein
POBNIBBE_00363	CDS	303	rplW			50S ribosomal protein L23
POBNIBBE_00364	CDS	624	rplD			50S ribosomal protein L4
POBNIBBE_00365	CDS	642	rplC			50S ribosomal protein L3
POBNIBBE_00366	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
POBNIBBE_00367	CDS	1188	tuf		COG0050	Elongation factor Tu
POBNIBBE_00368	CDS	471	fusA		COG0480	Elongation factor G
POBNIBBE_00369	CDS	471				hypothetical protein
POBNIBBE_00370	CDS	351				hypothetical protein
POBNIBBE_00371	CDS	894				hypothetical protein
POBNIBBE_00372	CDS	795				hypothetical protein
POBNIBBE_00373	CDS	393				hypothetical protein
POBNIBBE_00374	CDS	465				hypothetical protein
POBNIBBE_00375	CDS	369	cadC_1			Cadmium resistance transcriptional regulatory protein CadC
POBNIBBE_00376	CDS	2139	cadA_1	3.6.3.3		Cadmium-transporting ATPase
POBNIBBE_00377	CDS	165				hypothetical protein
POBNIBBE_00378	CDS	729	ybbA		COG2819	putative protein YbbA
POBNIBBE_00379	CDS	525	yjcG	3.1.-.-	COG1514	Putative phosphoesterase YjcG
POBNIBBE_00380	CDS	435		2.3.1.-		Acetyltransferase
POBNIBBE_00381	CDS	258				hypothetical protein
POBNIBBE_00382	CDS	138				hypothetical protein
POBNIBBE_00383	CDS	237				hypothetical protein
POBNIBBE_00384	CDS	321	ydbP		COG0526	Thioredoxin-like protein YdbP
POBNIBBE_00385	CDS	1281	malF		COG1175	Maltose transport system permease protein MalF
POBNIBBE_00386	CDS	843	malG		COG3833	Maltose transport system permease protein MalG
POBNIBBE_00387	CDS	1536			COG0366	Beta/alpha-amylase
POBNIBBE_00388	CDS	225	malR_1		COG1609	HTH-type transcriptional regulator MalR
POBNIBBE_00389	CDS	1653	dppE		COG4166	Dipeptide-binding protein DppE
POBNIBBE_00390	CDS	930	oppB		COG0601	Oligopeptide transport system permease protein OppB
POBNIBBE_00391	CDS	285				hypothetical protein
POBNIBBE_00392	CDS	1554	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
POBNIBBE_00393	CDS	375				hypothetical protein
POBNIBBE_00394	CDS	291				hypothetical protein
POBNIBBE_00395	CDS	210				hypothetical protein
POBNIBBE_00396	CDS	165				hypothetical protein
POBNIBBE_00397	CDS	411				hypothetical protein
POBNIBBE_00398	CDS	423	mutS2	3.1.-.-		Endonuclease MutS2
POBNIBBE_00399	CDS	1095	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
POBNIBBE_00400	CDS	1140	ugtP	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
